date,rolling_return,rolling_volatility,rolling_correlation,regime_cluster,regime,dataset
2025-06-10,0.0001002120030981137,0.11633488270487095,0.5539314447284825,0,Defensive,train
2025-06-11,0.0009923142669300224,0.09830236663783966,0.4690162954361338,0,Defensive,train
2025-06-12,0.0010051827393122775,0.09837974243664357,0.4618673053729459,0,Defensive,train
2025-06-13,-0.00014656020160338373,0.09595607519030816,0.42878068182491746,0,Defensive,train
2025-06-16,-0.0004999195055673437,0.10041681155791003,0.4502375058528899,0,Defensive,train
2025-06-17,0.00022236338314564073,0.10451959086330018,0.49078691690207876,0,Defensive,train
2025-06-18,0.0005931171882685138,0.1007242770179451,0.4693850812643833,0,Defensive,train
2025-06-19,0.00016449105649097572,0.1017093743864577,0.46458278576693246,0,Defensive,train
2025-06-20,0.0005241472442182527,0.09576601641771691,0.4361786265090558,0,Defensive,train
2025-06-23,0.0004987885618792095,0.09501699806934427,0.4299530488994349,0,Defensive,train
2025-06-24,-0.0005160798026150548,0.10003472748986654,0.44652038028858365,0,Defensive,train
2025-06-25,2.8418636928745313e-06,0.09595241198242127,0.42856437681805604,0,Defensive,train
2025-06-26,0.0005326058744146427,0.1012645208960307,0.46727006523077985,0,Defensive,train
2025-06-27,0.0008428610209385821,0.10482258882745978,0.46274702618423624,0,Defensive,train
2025-06-30,0.001017423486410907,0.10605175823357883,0.48032675888708465,0,Defensive,train
2025-07-01,0.0010016786160883758,0.10615744335333227,0.4524538649663493,0,Defensive,train
2025-07-02,0.0013312070573118415,0.10283518535912596,0.4208338091728691,2,Calm,train
2025-07-03,0.0008957514010516414,0.10684078223392898,0.4341680687969153,0,Defensive,train
2025-07-04,0.000551134152867929,0.10589168220261973,0.4374642784248573,0,Defensive,train
2025-07-07,0.0005473607481599127,0.10584261244279392,0.4377478494647334,0,Defensive,train
2025-07-08,0.0003497564620792246,0.10560602002305174,0.4478771829088908,0,Defensive,train
2025-07-09,0.00048012077194219404,0.10631685857977528,0.4776609892883294,0,Defensive,train
2025-07-10,0.00013770369369363715,0.10663804596821654,0.48467126943595706,0,Defensive,train
2025-07-11,0.0004545667197403621,0.10059907292386013,0.45894899532828354,0,Defensive,train
2025-07-14,0.000360110563035157,0.10303079593364034,0.45433144836851624,0,Defensive,train
2025-07-15,-0.000366880628276005,0.09919392101462693,0.4201525179044542,0,Defensive,train
2025-07-16,-7.994659978581e-05,0.10165543389942716,0.4427685361729444,0,Defensive,train
2025-07-17,0.00038677697709538813,0.10132535118440228,0.42924059069074494,0,Defensive,train
2025-07-18,0.00017135261310769373,0.10391113395050519,0.4498671802093228,0,Defensive,train
2025-07-21,-0.0005400067404043937,0.09647099898161175,0.3977416752532476,0,Defensive,train
2025-07-22,0.0001376153817278807,0.08666027228910965,0.26362590577920836,2,Calm,train
2025-07-23,-0.0002279645662126543,0.08841528823269955,0.26969703741726736,0,Defensive,train
2025-07-24,-0.0004061581490637274,0.08412627417897527,0.2516893742734667,0,Defensive,train
2025-07-25,-0.0012413884280158866,0.0822171897643245,0.2548762882316264,0,Defensive,train
2025-07-28,-0.0019189187341117479,0.08160402470972741,0.24754003716711398,0,Defensive,train
2025-07-29,-0.0019998751018165733,0.08178356105403257,0.2640558497211559,0,Defensive,train
2025-07-30,-0.0017887428092834493,0.08480641154760911,0.26270195017928605,0,Defensive,train
2025-07-31,-0.0011525925100193597,0.08668697953479898,0.2296412261527681,0,Defensive,train
2025-08-01,-0.001284902382216253,0.08738168258576212,0.22677530962268774,0,Defensive,train
2025-08-04,-0.0018832141481645742,0.08498319213792399,0.19938073041367996,0,Defensive,train
2025-08-05,-0.0015586417509092247,0.08886236048239583,0.1908764889666839,0,Defensive,train
2025-08-06,-0.002038241981270851,0.08756562886205987,0.17978275981353015,0,Defensive,train
2025-08-07,-0.0020416414457967006,0.08758092861132274,0.17782376059629335,0,Defensive,train
2025-08-08,-0.0017622088830182687,0.08818502004781449,0.17961391071210406,0,Defensive,train
2025-08-11,-0.001557998112037633,0.08395800977784867,0.16969168378432428,0,Defensive,train
2025-08-12,-0.0008180566446740511,0.09140327558115774,0.2103916098892539,0,Defensive,train
2025-08-13,-0.0012631774347002349,0.08813728262146261,0.18735697821593714,0,Defensive,train
2025-08-14,-0.0014517480871625694,0.08582442042323885,0.1861461786074682,0,Defensive,train
2025-08-18,-0.001046795992115887,0.08428377652355472,0.1662437202128351,0,Defensive,train
2025-08-19,-0.0009877384091972244,0.08395980518307382,0.16653773296203214,0,Defensive,train
2025-08-20,-0.000869991163260837,0.08531916959460616,0.20736121399078802,0,Defensive,train
2025-08-21,-0.00034953420661232624,0.08617112313283909,0.17009173406459602,2,Calm,train
2025-08-22,-0.000495058453377115,0.0840410857474673,0.15025459064898808,2,Calm,train
2025-08-25,-0.0006129070347697888,0.08735471573910918,0.18457038625699032,0,Defensive,train
2025-08-26,0.00018577718823693367,0.08765591729493373,0.17106327518674433,2,Calm,train
2025-08-28,2.0780402200227395e-05,0.09021750037193352,0.18964632360379546,2,Calm,train
2025-08-29,-0.0006843917322760083,0.09428727794649278,0.22343811049364962,0,Defensive,train
