Strategy,Simulation,Maximum Drawdown
Risk-Aware Regime Switching,424,-0.14430879297216725
Risk-Aware Regime Switching,425,-0.19782570810324673
Risk-Aware Regime Switching,426,-0.36067987619301356
Risk-Aware Regime Switching,427,-0.18098260584971315
Risk-Aware Regime Switching,428,-0.12813742202966227
Risk-Aware Regime Switching,429,-0.22108402459296517
Risk-Aware Regime Switching,430,-0.30658215997761673
Risk-Aware Regime Switching,431,-0.3110865180133561
Risk-Aware Regime Switching,432,-0.31465547775626324
Risk-Aware Regime Switching,433,-0.1846922457830471
Risk-Aware Regime Switching,434,-0.26719146807039573
Risk-Aware Regime Switching,435,-0.20951300973063902
Risk-Aware Regime Switching,436,-0.37666623482595796
Risk-Aware Regime Switching,437,-0.3265434768355089
Risk-Aware Regime Switching,438,-0.15128735490863476
Risk-Aware Regime Switching,439,-0.13461079563716538
Risk-Aware Regime Switching,440,-0.17893896625642736
Risk-Aware Regime Switching,441,-0.25327815183319147
Risk-Aware Regime Switching,442,-0.22866738475444082
Risk-Aware Regime Switching,443,-0.20784337155260102
Risk-Aware Regime Switching,444,-0.19421694272822243
Risk-Aware Regime Switching,445,-0.1645509903766582
Risk-Aware Regime Switching,446,-0.300750817344854
Risk-Aware Regime Switching,447,-0.2671856916144898
Risk-Aware Regime Switching,448,-0.173768385184351
Risk-Aware Regime Switching,449,-0.21096787778388715
Risk-Aware Regime Switching,450,-0.2661427632251365
Risk-Aware Regime Switching,451,-0.3400263667712845
Risk-Aware Regime Switching,452,-0.238167627436216
Risk-Aware Regime Switching,453,-0.5714157440394472
Risk-Aware Regime Switching,454,-0.24662565527721902
Risk-Aware Regime Switching,455,-0.125420209164554
Risk-Aware Regime Switching,456,-0.10482451523144476
Risk-Aware Regime Switching,457,-0.24583718435529922
Risk-Aware Regime Switching,458,-0.18821990603017036
Risk-Aware Regime Switching,459,-0.11129426033644274
Risk-Aware Regime Switching,460,-0.2799585972985733
Risk-Aware Regime Switching,461,-0.2312812313742847
Risk-Aware Regime Switching,462,-0.22922904316594472
Risk-Aware Regime Switching,463,-0.20632376442521805
Risk-Aware Regime Switching,464,-0.2903730448989392
Risk-Aware Regime Switching,465,-0.22890734066189167
Risk-Aware Regime Switching,466,-0.32323433791074374
Risk-Aware Regime Switching,467,-0.21369372890790295
Risk-Aware Regime Switching,468,-0.23966069267127044
Risk-Aware Regime Switching,469,-0.13144453666435074
Risk-Aware Regime Switching,470,-0.2848434703507856
Risk-Aware Regime Switching,471,-0.4148270029099539
Risk-Aware Regime Switching,472,-0.1131683328864792
Risk-Aware Regime Switching,473,-0.18407100987877845
Risk-Aware Regime Switching,474,-0.21516553419851392
Risk-Aware Regime Switching,475,-0.21200687326189116
Risk-Aware Regime Switching,476,-0.2724187615520438
Risk-Aware Regime Switching,477,-0.09318667734404518
Risk-Aware Regime Switching,478,-0.24342637620578422
Risk-Aware Regime Switching,479,-0.16611196869691625
Risk-Aware Regime Switching,480,-0.17316519515675444
Risk-Aware Regime Switching,481,-0.20248598908598392
Risk-Aware Regime Switching,482,-0.2718433739627577
Risk-Aware Regime Switching,483,-0.24584853372297633
Risk-Aware Regime Switching,484,-0.3203488435389459
Risk-Aware Regime Switching,485,-0.1971342085137635
Risk-Aware Regime Switching,486,-0.2445663087625164
Risk-Aware Regime Switching,487,-0.29544369712948926
Risk-Aware Regime Switching,488,-0.2535594865772217
Risk-Aware Regime Switching,489,-0.3932413783097751
Risk-Aware Regime Switching,490,-0.1749357768373372
Risk-Aware Regime Switching,491,-0.15169383125252134
Risk-Aware Regime Switching,492,-0.23960739185852442
Risk-Aware Regime Switching,493,-0.203092359440603
Risk-Aware Regime Switching,494,-0.22124019665162908
Risk-Aware Regime Switching,495,-0.24041723480060406
Risk-Aware Regime Switching,496,-0.32125607014253754
Risk-Aware Regime Switching,497,-0.26776234821450917
Risk-Aware Regime Switching,498,-0.1275971096030365
Risk-Aware Regime Switching,499,-0.12131344894776275
Risk-Aware Regime Switching,500,-0.2724309350901196
Risk-Aware Regime Switching,501,-0.27323516274021287
Risk-Aware Regime Switching,502,-0.29671041543627985
Risk-Aware Regime Switching,503,-0.23595928816903322
Risk-Aware Regime Switching,504,-0.2903588909145889
Risk-Aware Regime Switching,505,-0.2750798631284541
Risk-Aware Regime Switching,506,-0.18483691054020712
Risk-Aware Regime Switching,507,-0.2176222634885081
Risk-Aware Regime Switching,508,-0.1962183518124193
Risk-Aware Regime Switching,509,-0.36800377978724685
Risk-Aware Regime Switching,510,-0.17128765219812536
Risk-Aware Regime Switching,511,-0.23287516543465314
Risk-Aware Regime Switching,512,-0.2084836110257774
Risk-Aware Regime Switching,513,-0.2447759995620875
Risk-Aware Regime Switching,514,-0.45409554102056615
Risk-Aware Regime Switching,515,-0.3038585070186435
Risk-Aware Regime Switching,516,-0.20185634117533713
Risk-Aware Regime Switching,517,-0.16859361648557358
Risk-Aware Regime Switching,518,-0.25336443567030387
Risk-Aware Regime Switching,519,-0.21700570012940967
Risk-Aware Regime Switching,520,-0.42177747934178045
Risk-Aware Regime Switching,521,-0.1437465278218215
Risk-Aware Regime Switching,522,-0.17655773487802195
Risk-Aware Regime Switching,523,-0.39554197543399106
Risk-Aware Regime Switching,524,-0.17420550739852902
Risk-Aware Regime Switching,525,-0.11619449775005997
Risk-Aware Regime Switching,526,-0.19720131120651385
Risk-Aware Regime Switching,527,-0.12046071299661765
Risk-Aware Regime Switching,528,-0.23248129060968026
Risk-Aware Regime Switching,529,-0.1217236636616712
Risk-Aware Regime Switching,530,-0.13583722090999129
Risk-Aware Regime Switching,531,-0.47227738402978103
Risk-Aware Regime Switching,532,-0.1304950085695109
Risk-Aware Regime Switching,533,-0.21168663350131078
Risk-Aware Regime Switching,534,-0.32306780042235783
Risk-Aware Regime Switching,535,-0.21446257612376152
